Date,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_30,MA_90,Volatility_7,Volatility_30,Daily_Range,Daily_Range_Pct,Month,Month_Name
2025-04-02,82485.7109375,88466.953125,82343.5390625,85180.609375,47584398470,-3.1507420800550134,83809.45089285714,84622.14427083333,93129.13090277778,2.2902920516259835,2.775899913992548,6123.4140625,7.423605849914725,2025-04,Apr
2025-04-03,83102.828125,83909.296875,81282.1015625,82487.4765625,36852112080,0.7481504135517403,83227.41183035714,84484.83203125,92962.41310763889,2.328238608341565,2.7673027949494924,2627.1953125,3.1613789467529028,2025-04,Apr
2025-04-04,83843.8046875,84696.1484375,81670.75,83100.25,45157640207,0.8916382019940938,83154.6484375,84258.84010416667,92802.49730902778,2.0746754746906926,2.6692396527559783,3025.3984375,3.608374463415837,2025-04,Apr
2025-04-05,83504.796875,84207.015625,82377.734375,83844.703125,14380803631,-0.4043325726492686,83284.25,84043.60911458333,92637.93993055556,1.8922704495931797,2.667772183044951,1829.28125,2.190630141569337,2025-04,Apr
2025-04-06,78214.484375,83704.71875,77097.7421875,83504.5078125,36294853736,-6.3353396427263675,82695.67299107143,83759.33619791667,92372.78880208333,3.1201425093587756,2.830225682405357,6606.9765625,8.447254514678887,2025-04,Apr
2025-04-07,79235.3359375,81119.0625,74436.6796875,78221.3359375,91262424987,1.305195029613082,82222.3046875,83528.69427083334,92176.2625,3.197112965825216,2.8443491998566017,6682.3828125,8.433589298808544,2025-04,Apr
2025-04-08,76271.953125,80823.890625,76198.0234375,79218.4765625,48314590749,-3.739976334343409,80951.2734375,83384.39140625,91967.68949652778,2.914382778253891,2.67882196315009,4625.8671875,6.0649649025229415,2025-04,Apr
2025-04-09,82573.953125,83541.0,74589.671875,76273.5625,84213627038,8.26253916648998,80963.87946428571,83519.12317708334,91857.57743055555,4.57419547786593,3.0462350414066806,8951.328125,10.840377366273755,2025-04,Apr
2025-04-10,79626.140625,82700.9296875,78456.1328125,82565.9765625,44718000633,-3.56990599146636,80467.20982142857,83411.25416666667,91690.07395833333,4.760224561218379,2.9510150372723807,4244.796875,5.330908721284016,2025-04,Apr
2025-04-11,83404.8359375,84247.4765625,78936.3203125,79625.046875,41656778779,4.745546227457886,80404.5,83400.67005208334,91566.05442708333,5.156145615049206,3.074953801052093,5311.15625,6.367923622534252,2025-04,Apr
2025-04-12,85287.109375,85856.1875,82769.375,83404.515625,24258059104,2.256791727173346,80659.11607142857,83541.35026041667,91463.81744791666,5.2158808565245485,3.0393939475297396,3086.8125,3.6193189364966685,2025-04,Apr
2025-04-13,83684.9765625,86015.1875,83027.0078125,85279.46875,28796984817,-1.878516957885823,81440.61495535714,83531.87942708333,91343.46692708334,4.473304647935585,2.9939538845690823,2988.1796875,3.570748072407336,2025-04,Apr
2025-04-14,84542.390625,85785.0,83690.640625,83694.5234375,34090769777,1.0245734631468162,82198.765625,83538.52213541667,91210.22630208333,4.471941012557097,2.998577495260033,2094.359375,2.477289037507626,2025-04,Apr
